hotel_name,longitude_latitude
Let'stay Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.848904,30.767209&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=uIh1MGYUX2ZpEFEdoF7nyi_RMjg="");"
Hotel Next2,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.033864,28.981&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=XpSo1F6t040EAZ4W4T_eZ3Z94sc="");"
Puding Marina Residence - Special Class,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.883788,30.704064&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=ISeiKhgaikTtlvfr36JHbbKDnho="");"
Loft 1502,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.85677,30.7445&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=2XipA5EoB-ABO6Vy4q2km4gw6vs="");"
The Marmara Sisli,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.063375,28.997237&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=MoIpnPaj5WKf919qQhbc7oMS4C8="");"
"Radisson Blu Hotel & Spa, Istanbul Tuzla","background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.876216,29.316963&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=ormSJA1rNXta4X5M6fcpOlFTiw0="");"
"Radisson Blu Hotel, Vadistanbul","background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.108899,28.986427&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=NDx_y2SYahhvVaSfxwf6mgCy94I="");"
Berce Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.002982,28.976057&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=OvH8iSZIuxMbMl-gKJacgtODp24="");"
Delta Hotel Istanbul,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.008069,28.954537&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=E1C-au9SMM5kQNgr1g2tW65nl9I="");"
Tomtom Suites,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.030119,28.977725&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=bQQD3xmf6HzXgg8eUlVLcJX74QI="");"
Tempo Fair Suites,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.993787,28.84109&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=5D091BhJMCowoHANrHzvt8zyQDA="");"
Susesi Luxury Resort - All Inclusive,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.857266,31.040458&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=fGbDs6she2pNGddVeUNBAMB5yIw="");"
Coordinat Suits,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C38.44664,27.19232&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=phot7myA8DF57gpNyL09LpEIpTg="");"
Galata Times Boutique Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.027813,28.972101&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=M9z5sMbCyW6_nESSGZHIdW6Bxl4="");"
TRYP by Wyndham Istanbul Basın Ekspres,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.051945,28.822586&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=xPjfKkm5Kvxnml0A_8gTo9kXZTw="");"
Crowne Plaza Hotel Antalya,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.85849,30.630934&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=Jh5A2QPUa6RdbzF5XpqAUyxS73k="");"
Park Inn by Radisson Izmir,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C38.42714,27.13323&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=B1oWFlaL9wvoFXeLCzxblr_Qmbo="");"
Hotel Manastir and Suites,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C37.029403,27.443072&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=cRj2qRn92ITnY-hWhhWM1IgEkA8="");"
Nidya Hotel Esenyurt,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.056308,28.669&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=UmUfRQHts7D2h8r7h7w50y-SA1I="");"
Elite World Asia Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.95536,29.11673&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=vxAAFqMp1NQZzIKaPQHY8a5wxMI="");"
Bricks Hotel Istanbul,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.992393,28.838502&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=IHE-_5pTASSVkiNXlKVTDrpaqyM="");"
Hampton by Hilton Istanbul Kurtkoy,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.927164,29.30968&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=cIlz-7Ji1wo6ZYLH-l4gAxQLQCk="");"
Bodrium Otel & Spa - Special Class,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C37.037263,27.412007&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=B-0g6qy_YFCw-hJQe1lo_Gbrz74="");"
Regnum Escana Boutique Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C37.041036,27.441424&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=KOgSkp96xLk1h0YlgW5Elyi5Dt0="");"
Route Hotel Kaleici,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.88211,30.70415&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=ENdF-TTpfYtXMbiD32w7LDjmHho="");"
Hyatt Regency Istanbul Ataköy,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.9756,28.857127&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=T-4rspOur3_1q_M-xTj8iPd1IJs="");"
Cityloft 81,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.978346,29.142659&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=sXaMMQ8mwy7kRr9loPC7Em4hsAU="");"
Ciragan Palace Kempinski,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.044544,29.015808&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=V88JEyj3rD4ujhhMFL9aqE_9YX8="");"
Joya Del Mar Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.829548,28.308708&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=rXNJC8tN8Q4HpoBmVpcOD7pPDUY="");"
Yacht Boheme Hotel-Boutique Class - Adults Only,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.622184,29.101736&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=1oAb7Vqz3HZvalR9N_gnooW-XmY="");"
CVK Taksim Hotel Istanbul,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.036215,28.984922&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=Z_2Qt57RTIxXrjkAUthmCuNGYjA="");"
Ramada Encore By Wyndham Istanbul Basin Express,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.060141,28.808088&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=KDABmyOvBySyyzCXu2ZpjCvnm4I="");"
Four Points by Sheraton Izmir,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C38.447409,27.178435&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=LEfJqFh7nVvB78JBy0M5IEtF5AM="");"
Soho House Istanbul,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.030486,28.973403&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=sJH-iWgLcqP-pi4RLdcT2mXd4_0="");"
Cevahir Hotel Istanbul Asia,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.914717,29.13286&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=lAWI3eaDZURMkBrxv-tqbYyZ6kg="");"
Neorion Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.013625,28.976421&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=46gPBKwF__TXbLhtD_XFrKIOVic="");"
Casa Margot Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.62127,29.102745&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=Z0kKainzD0c0qEALNqX9GU_8sq4="");"
Palazzo Donizetti Hotel - Special Class,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.030653,28.973656&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=G4CVDoPDrrpwu20v5awsWq6XI4I="");"
Piano Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C38.42348,27.14024&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=fKWrIK3Ifkl99MqF6rJGeyreDoY="");"
Swissotel Resort Bodrum Beach,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.980684,27.258404&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=nEWU1uq1pmXE0cKEBsVizbSovO4="");"
Triana Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.875201,30.714718&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=oedfGkEZ-aObe-sd3Uc7yg-Y4ok="");"
"Caresse, a Luxury Collection Resort & Spa, Bodrum","background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C37.023715,27.388411&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=Gu3saAO_mCJ48WAX8dLYjzsARR8="");"
Dosso Dossi Hotels Old City,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.010214,28.97582&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=YA6E9ZEYYcQGxMxk33simsBbb5I="");"
Nevv Bosphorus Hotel & Suites,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.04841,29.02536&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=QJmFWdba1bHiMkl3OWTdfzxeWi8="");"
Q Pera Hotel Taksim,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.038849,28.982864&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=Uykjh0Beuh4TQdz_AqxHp9Qe65o="");"
Ramada Resort by Wyndham Bodrum,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C37.036766,27.393774&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=J-I4x8Zdgo6LqjBoem-x6kCqKCM="");"
Radisson Blu Hotel Istanbul Asia,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.990658,29.115545&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=mxP9trDpG7sVj8bdCSOBKBE7Je0="");"
Ada Karakoy Hotel - Special Class,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.022956,28.976555&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=uhYIo-VZtXoZPV7CnT05MmsdF3Q="");"
D-Resort Gocek - Special Class,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.753329,28.944838&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=P2UptFHzlFF8w0nixKWYXB59Yus="");"
Gulec Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.0071,28.9726&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=MMsybJZY31i-p6OvyqpE1ZA-qxE="");"
Mia Berre Hotels,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.058242,29.003144&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=IpvvFAzln_pIP07NswD8_0r5v00="");"
Akra V Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.865129,30.727477&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=eI4_H5N7ycbm_NTc2NummXSTFA4="");"
AMOSSIA ELIT BUTIK OTEL,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.773755,28.243486&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=EMH2_uF78oTFNU2oOK7Rn9U2FqM="");"
Dedeminn Marina Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.75525,28.940093&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=5hx4oLZGvNK3HZXQeMWZpGfQluo="");"
Febor İstanbul Bomonti Hotel & Spa,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.06091,28.98231&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=gqPmiKft-ldnb235dGMRrI8m7Lo="");"
Ramada Plaza by Wyndham Antalya,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.876776,30.707943&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=PrngOfH4WmPC9W4BqUZ2Cyi0_0A="");"
Hotel Arcadia Blue Istanbul,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.006878,28.973837&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=8zGGvYuXtgQMO-_fQkxGf6hFRuY="");"
Crowne Plaza Hotel Istanbul - Asia,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C40.938092,29.322552&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=UL2S4XTpdHaSAIAQdMbGdYvT9dY="");"
Ephesus Centrum,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C37.948835,27.371483&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=OhtBb7wHlAhkprvzjP1oAlNckUo="");"
Movenpick Hotel Istanbul Golden Horn,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.059263,28.94413&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=MdfmvSoob65nrZlgP_lIvgce8Kc="");"
"Shangri-La Bosphorus, Istanbul","background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.040816,29.004604&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=Bq1jwoUC-dyLyjRok5kX23sAk1I="");"
Senator Hotel Taksim,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.038048,28.98418&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=sZmlyV00GuPFGLCcOYdHtEi-p-0="");"
Kassandra Boutique Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.548689,29.123521&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=vByWkftNYXOqAvp-E_MXqUhR5i8="");"
Kadirga Antik Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.005937,28.970617&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=2GP9yL-rL4dFbut8mVOutVQVias="");"
B Business Hotel & Spa,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.919335,30.672212&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=4UkG2TPEba7gCDx3TulE_CozGjw="");"
